date,coffee,frozen_drink,iced_coffee,overall_sales,soda_fountain
2019-07-01,279071,149064,22499,558188,234728
2019-07-02,284465,134411,22530,555898,235030
2019-07-03,292808,147897,24233,575789,240506
2019-07-04,206925,155308,19343,427739,177988
2019-07-05,260454,146052,21417,512535,210830
2019-07-06,226315,139067,19660,445382,185219
2019-07-07,194836,133640,17030,393119,163834
2019-07-08,296113,111956,18978,518750,202112
2019-07-09,288254,135043,22246,552882,227513
2019-07-10,288446,147773,23493,572501,241133
2019-07-11,292183,1360521,22977,1121456,217171
2019-07-12,293416,203626,25102,611160,245000
2019-07-13,241243,198939,22390,522353,215713
2019-07-14,185037,192101,19916,446907,195664
2019-07-15,278035,160512,23438,570735,244054
2019-07-16,280277,158995,24307,577536,248473
2019-07-17,280397,154230,24779,574574,248700
2019-07-18,293082,146825,23232,569810,238794
2019-07-19,282133,173535,25231,587564,247389
2019-07-20,224418,182309,23460,496542,213966
2019-07-21,177754,177289,20461,428977,192213
2019-07-22,279246,141474,22880,548266,231131
2019-07-23,297387,132069,20953,550257,226402
2019-07-24,292101,146246,24682,575936,246504
2019-07-25,299363,149961,24771,580975,243615
2019-07-26,296237,165232,26043,595920,251780
2019-07-27,240031,170388,23154,509872,224707
2019-07-28,188269,165917,19902,436560,200708
2019-07-29,283370,140415,22909,560615,243588
2019-07-30,287540,141014,24324,574280,251560
2019-07-31,300266,130961,23735,571794,246003
2019-08-01,305490,145653,24619,589045,250651
2019-08-02,311078,151247,24817,593729,249459
2019-08-03,247950,160594,22424,503913,219149
2019-08-04,197075,156534,19180,431967,195078
2019-08-05,292751,136982,22338,558962,238290
2019-08-06,302715,131435,22888,568858,243287
2019-08-07,305537,124651,23008,561359,235380
2019-08-08,306373,135399,23792,576218,245609
2019-08-09,310330,140647,24334,585970,249685
2019-08-10,254977,136385,20925,487011,211341
2019-08-11,205085,134825,17972,416741,186168
2019-08-12,297375,123498,21826,552700,236053
2019-08-13,308180,118562,21550,557102,235458
2019-08-14,309053,129698,22657,566854,237730
2019-08-15,313672,132978,23202,573261,238029
2019-08-16,321574,134311,23304,576308,233575
2019-08-17,259696,136049,20184,480068,199618
2019-08-18,204597,134630,17805,409464,178210
2019-08-19,300092,124290,21796,551510,230233
2019-08-20,304580,127671,22876,562697,237259
2019-08-21,312105,123798,22862,568374,238781
2019-08-22,313544,125536,23351,571099,238344
2019-08-23,340691,117157,21391,570432,222871
2019-08-24,272134,131397,19668,483194,198132
2019-08-25,217577,127490,17054,414195,179771
2019-08-26,322899,103301,20029,546772,221740
2019-08-27,332518,110315,20432,557717,221107
2019-08-28,337334,107829,20474,567164,226895
2019-08-29,331237,122950,22152,584664,241612
2019-08-30,335725,136292,23418,593576,241990
2019-08-31,267253,136894,19625,482766,199595
2019-09-01,220732,125694,16820,408582,174874
2019-09-02,218248,123979,15862,407364,175056
2019-09-03,315126,115423,21272,550243,225085
2019-09-04,321546,113585,22076,565985,233972
2019-09-05,340526,111096,22056,583206,238602
2019-09-06,353723,119247,21301,587531,229541
2019-09-07,286816,136267,19199,500370,202234
2019-09-08,229272,107860,15764,398000,163740
2019-09-09,337769,87244,18867,538933,209452
2019-09-10,344957,91823,19715,553144,214002
2019-09-11,343042,102439,21144,567176,222655
2019-09-12,346187,104009,20884,571548,226115
2019-09-13,367701,119167,21493,593668,225239
2019-09-14,290214,132623,18590,496949,200114
2019-09-15,226533,116466,16127,404796,169921
2019-09-16,342249,88942,19073,546502,213788
2019-09-17,352779,88816,18999,557505,215639
2019-09-18,367273,86554,18681,563798,212274
2019-09-19,378649,85250,18409,565667,206566
2019-09-20,383553,111916,19353,592406,215349
2019-09-21,299614,129501,18200,495006,192436
2019-09-22,233722,117434,15681,409518,170335
2019-09-23,348225,86288,18605,547346,212602
2019-09-24,362311,89807,18737,567128,220330
2019-09-25,370924,93950,19056,580485,224659
2019-09-26,379490,83440,18483,571330,214682
2019-09-27,390117,97249,18590,584174,213741
2019-09-28,318428,101554,15580,478456,177420
2019-09-29,251707,92396,13597,395043,156454
2019-09-30,380294,69443,14824,537921,191920
2019-10-01,386631,80621,16234,566575,207712
2019-10-02,382147,84567,17799,577370,224763
2019-10-03,404523,76562,15687,581724,217897
2019-10-04,411978,92869,17112,598037,219681
2019-10-05,349533,98580,14681,502739,187104
2019-10-06,265447,92887,13089,408257,165998
2019-10-07,383749,73000,15883,553000,206634
2019-10-08,411106,67791,15343,569026,204410
2019-10-09,409910,65140,14794,560815,200028
2019-10-10,422676,71248,15548,580264,205579
2019-10-11,445570,85448,15868,602922,206672
2019-10-12,354654,89441,14013,492513,180040
2019-10-13,279504,80875,12117,402899,157966
2019-10-14,379828,68865,13961,532969,199652
2019-10-15,412618,66671,14651,573921,213263
2019-10-16,424052,60834,14235,570043,205264
2019-10-17,447015,63141,13674,588647,204253
2019-10-18,448229,77051,14745,599015,207219
2019-10-19,361673,83671,12772,489688,177815
2019-10-20,277668,74980,11024,396916,160697
2019-10-21,406950,65510,13985,562655,211341
2019-10-22,420299,66932,14303,582841,220760
2019-10-23,425910,70758,14993,594962,225833
2019-10-24,430161,75329,15405,603021,227986
2019-10-25,433453,82892,15479,613335,217444
2019-10-26,346213,82251,13100,495891,186293
2019-10-27,268329,66353,10139,386801,153047
2019-10-28,417744,54110,11828,564530,194762
2019-10-29,442934,48785,11646,576107,188565
2019-10-30,446739,48849,11725,576806,187406
2019-10-31,435159,55548,11681,575735,198454
2019-11-01,472550,62800,12127,613862,198427
2019-11-02,381234,70939,11082,503351,173085
2019-11-03,301856,64463,10270,415873,157145
2019-11-04,426080,50857,11829,569891,195890
2019-11-05,427115,51539,12298,573846,198399
2019-11-06,438945,50827,12570,583954,198807
2019-11-07,445568,55418,12570,585625,192231
2019-11-08,474016,62501,12987,611716,194656
2019-11-09,374114,68119,11427,491898,169192
2019-11-10,289627,64117,10168,399578,150245
